CODE_IRIS_2022,CODE_IRIS_2021,CODE_IRIS_2020,CODE_IRIS_2019,CODE_IRIS_2018,CODE_IRIS_2017,CODE_IRIS_2016,CODE_IRIS_2015,CODE_IRIS_2014,CODE_IRIS_2013,CODE_IRIS_2012,CODE_IRIS_2011,CODE_IRIS_2010,CODE_IRIS_2009,CODE_IRIS_2008,CODE_IRIS_1999
110800000,110800000,110800000,110800000,110800000,110800000,110800000,111710000,111710000,111710000,111710000,111710000,111710000,111710000,111710000,111710000
111310000,111310000,111310000,111310000,113290000,113290000,113290000,113290000,113290000,113290000,113290000,113290000,113290000,113290000,113290000,113290000
111880000,111880000,111880000,111880000,111880000,111880000,111880000,111880000,111880000,112660102,112660102,112660102,112660102,112660102,112660102,112660102
112510000,112510000,112510000,112510000,112980000,112980000,112980000,112980000,112980000,112980000,112980000,112980000,112980000,112980000,112980000,112980000
112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620204
112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620206,112620205
112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620207,112620205
112620602,112620602,112620602,112620602,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601
112620603,112620603,112620603,112620603,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601,112620601
112660103,112660103,112660103,112660103,112660103,112660103,112660103,112660103,112660103,111880000,111880000,111880000,111880000,111880000,111880000,111880000
112660103,112660103,112660103,112660103,112660103,112660103,112660103,112660103,112660103,112660102,112660102,112660102,112660102,112660102,112660102,112660102
113040000,113040000,113040000,113040000,113040000,113040000,113040000,110500000,110500000,110500000,110500000,110500000,110500000,110500000,110500000,110500000
113230000,113230000,113230000,113230000,110970000,110970000,110970000,110970000,110970000,110970000,110970000,110970000,110970000,110970000,110970000,110970000
120210000,120210000,120210000,120210000,120210000,120210000,120210000,122450000,122450000,122450000,122450000,122450000,122450000,122450000,122450000,122450000
120210000,120210000,120210000,120210000,120210000,120210000,120210000,122850000,122850000,122850000,122850000,122850000,122850000,122850000,122850000,122850000
120760000,120760000,120760000,120760000,120760000,120760000,120760000,121140000,121140000,121140000,121140000,121140000,121140000,121140000,121140000,121140000
120760000,120760000,120760000,120760000,120760000,120760000,120760000,121730000,121730000,121730000,121730000,121730000,121730000,121730000,121730000,121730000
120760000,120760000,120760000,120760000,120760000,120760000,120760000,122180000,122180000,122180000,122180000,122180000,122180000,122180000,122180000,122180000
120900000,120900000,120900000,120900000,120900000,120900000,120200000,120200000,120200000,120200000,120200000,120200000,120200000,120200000,120200000,120200000
121200000,121200000,121200000,121200000,121200000,121200000,121200000,122710000,122710000,122710000,122710000,122710000,122710000,122710000,122710000,122710000
121770000,121770000,121770000,121770000,121770000,121770000,121770000,120810000,120810000,120810000,120810000,120810000,120810000,120810000,120810000,120810000
121770000,121770000,121770000,121770000,121770000,121770000,121770000,120870000,120870000,120870000,120870000,120870000,120870000,120870000,120870000,120870000
122230000,122230000,122230000,122230000,122230000,122230000,122230000,120050000,120050000,120050000,120050000,120050000,120050000,120050000,120050000,120050000
122230000,122230000,122230000,122230000,122230000,122230000,122230000,121120000,121120000,121120000,121120000,121120000,121120000,121120000,121120000,121120000
122230000,122230000,122230000,122230000,122230000,122230000,122230000,121170000,121170000,121170000,121170000,121170000,121170000,121170000,121170000,121170000
122230000,122230000,122230000,122230000,122230000,122230000,122230000,122790000,122790000,122790000,122790000,122790000,122790000,122790000,122790000,122790000
122230000,122230000,122230000,122230000,122230000,122230000,122230000,123040000,123040000,123040000,123040000,123040000,123040000,123040000,123040000,123040000
122240000,122240000,122240000,122240000,122240000,122240000,122240000,120140000,120140000,120140000,120140000,120140000,120140000,120140000,120140000,120140000
122700000,122700000,122700000,122700000,122700000,122700000,122700000,120400000,120400000,120400000,120400000,120400000,120400000,120400000,120400000,120400000
122700000,122700000,122700000,122700000,122700000,122700000,122700000,121230000,121230000,121230000,121230000,121230000,121230000,121230000,121230000,121230000
122700000,122700000,122700000,122700000,122700000,122700000,122700000,121260000,121260000,121260000,121260000,121260000,121260000,121260000,121260000,121260000
122700000,122700000,122700000,122700000,122700000,122700000,122700000,121960000,121960000,121960000,121960000,121960000,121960000,121960000,121960000,121960000
130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010205,130010201
130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010206,130010201
130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010709,130010708
130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010710,130010708
130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010711,130010708
130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010907,130010904
130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010908,130010904
131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170208,131170201
131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170209,131170201
132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130102,132130101
132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130103,132130101
140050000,140050000,140050000,140050000,140050000,140050000,140740000,140740000,140740000,140740000,140740000,140740000,140740000,140740000,140740000,140740000
140050000,140050000,140050000,140050000,140050000,140050000,141760000,141760000,141760000,141760000,141760000,141760000,141760000,141760000,141760000,141760000
140050000,140050000,140050000,140050000,140050000,140050000,142680000,142680000,142680000,142680000,142680000,142680000,142680000,142680000,142680000,142680000
140050000,140050000,140050000,140050000,140050000,140050000,145170000,145170000,145170000,145170000,145170000,145170000,145170000,145170000,145170000,145170000
140110000,140110000,140110000,140110000,140110000,140110000,143760000,143760000,143760000,143760000,143760000,143760000,143760000,143760000,143760000,143760000
140110000,140110000,140110000,140110000,140110000,140110000,145810000,145810000,145810000,145810000,145810000,145810000,145810000,145810000,145810000,145810000
140110000,140110000,140110000,140110000,140110000,140110000,146950000,146950000,146950000,146950000,146950000,146950000,146950000,146950000,146950000,146950000
140140000,140140000,140140000,140140000,140140000,140140000,140140000,141700000,141700000,141700000,141700000,141700000,141700000,141700000,141700000,141700000
140270000,140270000,140270000,140270000,140270000,140270000,140560000,140560000,140560000,140560000,140560000,140560000,140560000,140560000,140560000,140560000
140270000,140270000,140270000,140270000,140270000,140270000,141280000,141280000,141280000,141280000,141280000,141280000,141280000,141280000,141280000,141280000
140270000,140270000,140270000,140270000,140270000,140270000,142190000,142190000,142190000,142190000,142190000,142190000,142190000,142190000,142190000,142190000
140270000,140270000,140270000,140270000,140270000,140270000,144770000,144770000,144770000,144770000,144770000,144770000,144770000,144770000,144770000,144770000
140270000,140270000,140270000,140270000,140270000,140270000,145080000,145080000,145080000,145080000,145080000,145080000,145080000,145080000,145080000,145080000
